 WARNING | 01-30-23 | 18:00:06 | Monday | [NO_REQUEST]: 502 | https://data.sanitino.eu/PRODUCT-54827/1b847711be081819ef4596ab?size=feed-1080
 WARNING | 01-30-23 | 18:00:06 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-53079/440dbbaf3688dd66253cbc2e?size=feed-1080
 WARNING | 01-30-23 | 18:00:06 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-53077/440dbbaf3688dd66253cbc2e?size=feed-1080
 WARNING | 01-30-23 | 18:00:07 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-44654/11fed5b8086e36e0ae94d809?v=013c5961&size=feed-1080
 WARNING | 01-30-23 | 18:00:08 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-44583/7df2514203ad7f46536f4a8f?v=25b4f9ef&size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45176/53bd1af88798b43c226ff869?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45185/5a0badcd309f4bb734344894?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45173/53bd1af88798b43c226ff869?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45175/53bd1af88798b43c226ff869?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45206/700366b30f49ed3059f2f9dc?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45187/5a0badcd309f4bb734344894?size=feed-1080
 WARNING | 01-30-23 | 18:00:10 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45208/700366b30f49ed3059f2f9dc?size=feed-1080
 WARNING | 01-30-23 | 18:00:14 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-58906/775c321b9f96c5f5805f9282?size=feed-1080
 DEBUG | 01-30-23 | 18:00:14 | Monday | 9000
